"eventname","userid","timecreated"
"\core\event\course_viewed","1001","1717071230"
"\core\event\course_viewed","1001","1717071238"
"\mod_forum\event\discussion_viewed","1001","1717071295"
"\core\event\course_viewed","1001","1717071310"
"\core\event\course_viewed","1001","1717071320"
"\core\event\course_viewed","1001","1717071325"
"\core\event\course_viewed","1001","1717071328"
"\core\event\course_viewed","1001","1717071332"
"\core\event\course_viewed","1001","1717071340"
"\core\event\course_viewed","1001","1717071345"
"\core\event\course_viewed","1001","1717071348"
"\mod_workshop\event\course_module_viewed","1001","1717071358"
"\mod_workshop\event\course_module_viewed","1001","1717071512"
"\core\event\course_viewed","1001","1717071520"
"\core\event\course_viewed","1001","1717071528"
"\core\event\course_viewed","1001","1717165915"
"\mod_workshop\event\course_module_viewed","1001","1717165920"
"\core\event\course_viewed","1001","1717167878"
"\core\event\course_viewed","1001","1717167932"
"\core\event\course_viewed","1001","1717344312"
"\core\event\course_viewed","1001","1717345690"
"\core\event\course_viewed","1001","1717345695"
"\core\event\course_viewed","1001","1717345698"
"\core\event\course_viewed","1001","1717345700"
"\core\event\course_viewed","1001","1717345702"
"\core\event\course_viewed","1001","1717345705"
"\core\event\course_viewed","1001","1717345715"
"\core\event\course_viewed","1001","1717345748"
"\core\event\course_viewed","1001","1717345752"
"\gradereport_user\event\grade_report_viewed","1001","1717345770"
"\core\event\course_viewed","1001","1717345790"
"\mod_resource\event\course_module_viewed","1001","1717346932"
"\core\event\course_viewed","1001","1717347020"
"\core\event\course_viewed","1001","1717357205"
"\core\event\course_viewed","1001","1718169868"
"\core\event\course_viewed","1001","1718169870"
"\core\event\course_viewed","1001","1718169872"
"\core\event\course_viewed","1001","1718169878"
"\core\event\course_viewed","1001","1718169885"
"\core\event\user_list_viewed","1001","1718169898"
"\core\event\course_viewed","1001","1718169902"
"\core\event\course_viewed","1001","1718169905"
"\core\event\course_viewed","1001","1718169915"
"\mod_workshop\event\course_module_viewed","1001","1718169918"
"\core\event\course_viewed","1001","1718290958"
"\mod_workshop\event\course_module_viewed","1001","1718290972"
"\mod_resource\event\course_module_viewed","1001","1718290985"
"\core\event\course_viewed","1001","1718291395"
"\mod_resource\event\course_module_viewed","1001","1718291405"
"\core\event\course_viewed","1001","1718500645"
"\core\event\course_viewed","1001","1718500650"
"\mod_workshop\event\course_module_viewed","1001","1718500658"
"\mod_workshop\event\submission_assessed","1001","1718500660"
"\mod_workshop\event\submission_reassessed","1001","1718500675"
"\mod_workshop\event\course_module_viewed","1001","1718500678"
"\mod_workshop\event\submission_created","1001","1718500698"
"\mod_workshop\event\submission_updated","1001","1718500700"
"\mod_workshop\event\assessable_uploaded","1001","1718500710"
